,formula,structure,spacegroup,formation_energy_ev_natom,bandgap_energy_ev
0,Al2O3,"Full Formula (Al8 O12)
Reduced Formula: Al2O3
abc   :   5.287465  11.553381   3.400059
angles:  90.000000 110.171782  90.000000
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.190683  0.837533  0.577505
  1  Al    0.213264  0.555473  0.374188
  2  Al    0.286736  0.055473  0.125812
  3  Al    0.309317  0.337533  0.922495
  4  Al    0.690683  0.662467  0.077505
  5  Al    0.713264  0.944527  0.874188
  6  Al    0.786736  0.444527  0.625812
  7  Al    0.809317  0.162467  0.422495
  8  O     0.060959  0.885344  0.005173
  9  O     0.041028  0.695674  0.379419
 10  O     0.315899  0.001781  0.642428
 11  O     0.184101  0.501781  0.857572
 12  O     0.439041  0.385344  0.494827
 13  O     0.458972  0.195674  0.120581
 14  O     0.541028  0.804326  0.879419
 15  O     0.560959  0.614656  0.505173
 16  O     0.815899  0.498219  0.142428
 17  O     0.684101  0.998219  0.357572
 18  O     0.958972  0.304326  0.620581
 19  O     0.939041  0.114656  0.994827",14,-3.35325318375,4.2446
1,Al2O3,"Full Formula (Al32 O48)
Reduced Formula: Al2O3
abc   :   5.658037   5.656882  23.680415
angles:  90.838548  90.024499  90.008415
Sites (80)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Al    0.002745   0.517064  0.251302
  1  Al    0.985143   0.995525  0.001113
  2  Al    0.01548    0.256192  0.121496
  3  Al    0.015754   0.749842  0.122408
  4  Al    0.003142   0.982173  0.33339
  5  Al    0.016394   0.243073  0.462334
  6  Al    0.016511   0.749975  0.461552
  7  Al    0.999651  -5.7e-05   0.665719
  8  Al    0.984713   0.504573  0.582055
  9  Al    0.995748   0.250251  0.790833
 10  Al    0.000184   0.500911  0.916238
 11  Al    0.241794   0.519663  0.71189
 12  Al    0.242331   0.981072  0.869939
 13  Al    0.25695    0.019076  0.213494
 14  Al    0.257573   0.480232  0.371134
 15  Al    0.513494   0.004625  0.08257
 16  Al    0.499035   0.999742  0.417165
 17  Al    0.496547   0.017635  0.749726
 18  Al    0.483043   0.250425  0.961248
 19  Al    0.482073   0.249947  0.621077
 20  Al    0.513996   0.495279  0.500566
 21  Al    0.496669   0.482824  0.832032
 22  Al    0.503704   0.749889  0.292419
 23  Al    0.498903   0.499224  0.167452
 24  Al    0.483257   0.743956  0.96222
 25  Al    0.482274   0.756856  0.620205
 26  Al    0.749406   0.481311  0.372029
 27  Al    0.749571   0.99997   0.541298
 28  Al    0.749497   0.499988  0.041862
 29  Al    0.749073   0.017811  0.212579
 30  Al    0.750029   0.982393  0.870977
 31  Al    0.749483   0.518273  0.710911
 32  O     0.979419   0.252458  0.044465
 33  O     0.980488   0.7449    0.044786
 34  O     0.001953   0.241948  0.20791
 35  O     0.001853   0.777761  0.204848
 36  O     0.979221   0.24712   0.538957
 37  O     0.98046    0.755787  0.538711
 38  O     0.995707   0.271013  0.709027
 39  O     0.995578   0.730695  0.702808
 40  O     0.99615    0.229979  0.872793
 41  O     0.996081   0.770179  0.879171
 42  O     0.002591   0.257306  0.376695
 43  O     0.00278    0.721479  0.379557
 44  O     0.226936   0.502703  0.131069
 45  O     0.257956   0.997342  0.95684
 46  O     0.243041   0.480273  0.788631
 47  O     0.242722   0.020392  0.793313
 48  O     0.240802   0.496934  0.45706
 49  O     0.227485   0.996703  0.453301
 50  O     0.241037   0.002958  0.126754
 51  O     0.257003   0.519478  0.294616
 52  O     0.271914   0.497454  0.952494
 53  O     0.257873   0.503186  0.625621
 54  O     0.270825   0.003133  0.629319
 55  O     0.256816   0.97988   0.290193
 56  O     0.518501   0.255475  0.038632
 57  O     0.503414   0.26919   0.38043
 58  O     0.496483   0.277852  0.70334
 59  O     0.497122   0.222302  0.87872
 60  O     0.518129   0.244065  0.543793
 61  O     0.503392   0.728704  0.37409
 62  O     0.496509   0.742838  0.706308
 63  O     0.503102   0.2303    0.204548
 64  O     0.519537   0.747225  0.039033
 65  O     0.497162   0.757965  0.875645
 66  O     0.519309   0.75301   0.543478
 67  O     0.503163   0.770371  0.210686
 68  O     0.748897   0.980001  0.290116
 69  O     0.729961   0.00361   0.622854
 70  O     0.722983   0.503918  0.628404
 71  O     0.731504   0.496931  0.959687
 72  O     0.748669   0.51925   0.294799
 73  O     0.774429   0.003677  0.129591
 74  O     0.769029   0.996176  0.459769
 75  O     0.775932   0.496296  0.454283
 76  O     0.75041    0.020293  0.793496
 77  O     0.750273   0.480574  0.788468
 78  O     0.724067   0.996538  0.953921
 79  O     0.767532   0.503099  0.123882",13,-3.408777018625,4.0645999999999995
2,Al2O3,"Full Formula (Al6 O9)
Reduced Formula: Al2O3
abc   :   4.988277   4.988276  14.533651
angles:  90.000000  90.000000 120.000010
Sites (15)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.666667  0.333333  0.331361
  1  Al    0         0         0.30465
  2  Al    0.333333  0.666667  0.29426
  3  Al    0.666667  0.333333  0.129781
  4  Al    0         0         0.11939
  5  Al    0.333333  0.666667  0.092679
  6  O     0.013287  0.674899  0.355978
  7  O     0.325101  0.338388  0.355978
  8  O     0.661612  0.986713  0.355978
  9  O     0.324923  0         0.21202
 10  O     0         0.324923  0.21202
 11  O     0.675077  0.675077  0.21202
 12  O     0.338388  0.325101  0.068062
 13  O     0.674899  0.013287  0.068062
 14  O     0.986713  0.661612  0.068062",150,-3.2319582487500003,4.8041
3,Al2O3,"Full Formula (Al16 O24)
Reduced Formula: Al2O3
abc   :   5.660272   5.651788  17.159514
angles:  59.910996  60.682711  59.691762
Sites (40)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.99058   0.000634  0.169666
  1  Al    0.128383  0.640777  0.034122
  2  Al    0.612308  0.143362  0.047087
  3  Al    0.613054  0.610311  0.048427
  4  Al    0.114744  0.120207  0.377757
  5  Al    0.617604  0.120653  0.376895
  6  Al    0.615335  0.624361  0.213034
  7  Al    0.263042  0.243227  0.579258
  8  Al    0.210939  0.283984  0.757711
  9  Al    0.617405  0.623862  0.376409
 10  Al    0.594822  0.615273  0.549138
 11  Al    0.113286  0.621737  0.378456
 12  Al    0.77566   0.026114  0.70182
 13  Al    0.591409  0.134794  0.881984
 14  Al    0.605764  0.654029  0.707337
 15  Al    0.648035  0.619994  0.881349
 16  O     0.361461  0.406512  0.110572
 17  O     0.378672  0.862255  0.133884
 18  O     0.358963  0.370946  0.307751
 19  O     0.35996   0.844382  0.30686
 20  O     0.375649  0.379641  0.453176
 21  O     0.846657  0.39473   0.132525
 22  O     0.847032  0.866699  0.131668
 23  O     0.391772  0.356611  0.626997
 24  O     0.402096  0.87085   0.448443
 25  O     0.829151  0.374602  0.305485
 26  O     0.422012  0.376383  0.781228
 27  O     0.410187  0.857552  0.618154
 28  O     0.857401  0.870198  0.29829
 29  O     0.868835  0.401858  0.447591
 30  O     0.874253  0.877447  0.445439
 31  O     0.393936  0.387475  0.957491
 32  O     0.426735  0.898466  0.78199
 33  O     0.87215   0.356721  0.620856
 34  O     0.388154  0.863878  0.960805
 35  O     0.832726  0.371926  0.808279
 36  O     0.892429  0.797011  0.642116
 37  O     0.845494  0.879772  0.810337
 38  O     0.831709  0.380266  0.972722
 39  O     0.820195  0.870501  0.983557",1,-3.3163995764999994,3.3432999999999993
4,Al2O3,"Full Formula (Al2 O3)
Reduced Formula: Al2O3
abc   :   3.034728   6.092114   3.034728
angles: 104.422502  60.000004 104.422498
Sites (5)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.192889  0.578667  0.192889
  1  Al    0.693184  0.079552  0.693184
  2  O     0.02833   0.08499   0.02833
  3  O     0.582117  0.746352  0.582117
  4  O     0.80648   0.419439  0.80648",160,-3.35098588275,4.0029
5,Al2O3,"Full Formula (Al16 O24)
Reduced Formula: Al2O3
abc   :   5.604137   5.665806  15.884427
angles:  66.270347  69.026754  59.304430
Sites (40)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.165939  0.911322  0.134715
  1  Al    0.227058  0.496471  0.018805
  2  Al    0.595131  0.346679  0.162595
  3  Al    0.43766   0.047089  0.524133
  4  Al    0.478818  0.529204  0.329153
  5  Al    0.80028   0.426411  0.470507
  6  Al    0.058339  0.237561  0.288673
  7  Al    0.691769  0.900441  0.326721
  8  Al    0.223641  0.140404  0.841556
  9  Al    0.334395  0.54629   0.66365
 10  Al    0.379034  0.610255  0.829451
 11  Al    0.092749  0.768116  0.49011
 12  Al    0.890857  0.434928  0.648486
 13  Al    0.782657  0.941754  0.790563
 14  Al    0.770632  0.508179  0.975745
 15  Al    0.715395  0.995829  0.998346
 16  O     0.357453  0.118628  0.068671
 17  O     0.421155  0.118251  0.2488
 18  O     0.357031  0.607109  0.077256
 19  O     0.843335  0.126278  0.074264
 20  O     0.371833  0.629849  0.224794
 21  O     0.504417  0.176202  0.396499
 22  O     0.904903  0.110611  0.234071
 23  O     0.21276   0.368177  0.558317
 24  O     0.469858  0.666464  0.416052
 25  O     0.849426  0.599822  0.061095
 26  O     0.813219  0.594301  0.271749
 27  O     0.97692   0.142235  0.41654
 28  O     0.238702  0.843201  0.56258
 29  O     0.091738  0.381703  0.730851
 30  O     0.698344  0.35766   0.593978
 31  O     0.131121  0.402608  0.89927
 32  O     0.14354   0.813062  0.740516
 33  O     0.95882   0.674837  0.4082
 34  O     0.746331  0.816706  0.576963
 35  O     0.606109  0.351251  0.754199
 36  O     0.106833  0.871028  0.920299
 37  O     0.589895  0.397188  0.929513
 38  O     0.523866  0.878274  0.77878
 39  O     0.642239  0.894825  0.913332",1,-3.2807458905000004,3.9762999999999993
6,Al2O3,"Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   2.829988   4.838880   9.069636
angles:  82.567413  94.842493  91.387413
Sites (10)
  #  SP           a         b          c
---  ----  --------  --------  ---------
  0  Al    0.813399  0.858051  -0.043131
  1  Al    0.107907  0.071699   0.406586
  2  Al    0.572285  0.612555   0.220767
  3  Al    0.279534  0.400787   0.771392
  4  O     0.660016  0.119249   0.543682
  5  O     0.579788  0.876789   0.344041
  6  O     0.304371  0.07704    0.894407
  7  O     0.805914  0.593481   0.834111
  8  O     0.08163   0.394308   0.28288
  9  O     0.726555  0.35274    0.633565",2,-2.418782965749999,0.6822999999999997
7,Al2O3,"Full Formula (Al8 O12)
Reduced Formula: Al2O3
abc   :   4.846491   4.846489   9.085887
angles:  90.000329  89.999794 120.000127
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.333329  0.666669  0.962846
  1  Al    0.33332   0.66667   0.25
  2  Al    0.999986  0.999999  0
  3  Al    0.999995  0.999999  0.5
  4  Al    0.333328  0.666666  0.537152
  5  Al    0.666662  0.333332  0.037154
  6  Al    0.666649  0.333327  0.750001
  7  Al    0.666665  0.333336  0.462848
  8  O     0.031828  0.676608  0.111905
  9  O     0.968145  0.644755  0.611902
 10  O     0.031845  0.355246  0.388097
 11  O     0.968136  0.323394  0.888099
 12  O     0.323381  0.355248  0.111899
 13  O     0.355234  0.323393  0.611903
 14  O     0.323392  0.968156  0.388097
 15  O     0.355225  0.03184   0.888097
 16  O     0.644754  0.676607  0.388097
 17  O     0.676589  0.644754  0.888095
 18  O     0.64474   0.968153  0.111905
 19  O     0.676597  0.031847  0.611903",163,-3.369949647749999,5.4924
8,Al2O3,"Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   7.738312   3.199640  10.700860
angles:  89.982941  28.533787 101.904870
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.37427   0.677008  0.219291
  1  Al    0.187244  0.585     0.656095
  2  Al    0.625753  0.303145  0.780692
  3  Al    0.812692  0.396359  0.34394
  4  O     0.133261  0.558201  0.523006
  5  O     0.396894  0.688713  0.956205
  6  O     0.603153  0.291436  0.043778
  7  O     0.227567  0.105018  0.70361
  8  O     0.772413  0.876447  0.296406
  9  O     0.866754  0.42496   0.476978",12,-3.389213721749999,4.1705000000000005
9,Al2O3,"Full Formula (Al16 O24)
Reduced Formula: Al2O3
abc   :   7.773912   7.773912   7.773912
angles: 109.471221 109.471221 109.471221
Sites (40)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.5       0         0
  1  Al    0.962242  0.25      0.212242
  2  Al    0.787758  0.037758  0.75
  3  Al    0.712242  0.462242  0.25
  4  Al    0.75      0.787758  0.037758
  5  Al    0.75      0.287758  0.537758
  6  Al    0.462242  0.25      0.712242
  7  Al    0         0.5       0
  8  Al    0.5       0.5       0.5
  9  Al    0         0         0.5
 10  Al    0.537758  0.75      0.287758
 11  Al    0.25      0.712242  0.462242
 12  Al    0.25      0.212242  0.962242
 13  Al    0.287758  0.537758  0.75
 14  Al    0.212242  0.962242  0.25
 15  Al    0.037758  0.75      0.787758
 16  O     0.770866  0.046032  0.497436
 17  O     0.729134  0.22657   0.275166
 18  O     0.27343   0.002564  0.048596
 19  O     0.953968  0.502564  0.229134
 20  O     0.453968  0.224833  0.451404
 21  O     0.77343   0.724834  0.270866
 22  O     0.048596  0.27343   0.002564
 23  O     0.451404  0.453968  0.224833
 24  O     0.724834  0.270866  0.77343
 25  O     0.775166  0.548596  0.546032
 26  O     0.002564  0.048596  0.27343
 27  O     0.497436  0.770866  0.046032
 28  O     0.997436  0.951404  0.72657
 29  O     0.224833  0.451404  0.453968
 30  O     0.275166  0.729134  0.22657
 31  O     0.502564  0.229134  0.953968
 32  O     0.548596  0.546032  0.775166
 33  O     0.951404  0.72657   0.997436
 34  O     0.546032  0.775166  0.548596
 35  O     0.22657   0.275166  0.729134
 36  O     0.046032  0.497436  0.770866
 37  O     0.72657   0.997436  0.951404
 38  O     0.229134  0.953968  0.502564
 39  O     0.270866  0.77343   0.724834",206,-3.4123755235000006,5.2156
